year,species,source,total,read,season,center,notes
2009,pacific hake,WCGBT,263,yes,summer,NWFSC,
2012,pacific hake,WCGBT,71,yes,summer,NWFSC,
2012,pacific hake,FEAT,199,yes,,NWFSC,
2013,pacific hake,ASHOP,103,yes,fall,NWFSC,
2013,pacific hake,ASHOP,104,yes,spring,NWFSC,
2013,pacific hake,WCGBT,70,yes,summer,NWFSC,
2013,pacific hake,FEAT,254,yes,,NWFSC,
2014,pacific hake,ASHOP,105,yes, spring,NWFSC,
2014,pacific hake,ASHOP,142,yes,fall,NWFSC,
2014,pacific hake,WCGBT,276,yes,summer,NWFSC,
2015,pacific hake,ASHOP,112,yes,fall,NWFSC,
2017,arrowtooth flounder,WCGBT,60,no,summer,NWFSC,
2016,aurora rockfish,WCGBT,76,yes,summer,NWFSC,
2012,aurora rockfish,WCGBT,127,yes,summer,NWFSC,
2013,aurora rockfish,WCGBT,79,yes,summer,NWFSC,
2014,aurora rockfish,WCGBT,115,yes,summer,NWFSC,
2015,aurora rockfish,WCGBT,170,yes,summer,NWFSC,
2016,bank rockfish,WCGBT,30,yes,summer,NWFSC,
2016,bank rockfish,HKL,48,no,summer,NWFSC,
2017,bank rockfish,HKL,50,no,summer,NWFSC,
2018,bank rockfish,WCGBT,15,no,summer,NWFSC,
2018,bank rockfish,HKL,125,no,summer,NWFSC,
2016,blue rockfish,HKL,28,no,summer,NWFSC,
2017,blue rockfish,hkl,25,no,summer,NWFSC,
2018,blue rockfish,HKL,41,no,summer,NWFSC,
2015,rougheye rockfish,WCGBT,39,yes,summer,NWFSC,
2016,rougheye rockfish,WCGBT,40,yes,summer,NWFSC,
2017,rougheye rockfish,WCGBT,7,yes,summer,NWFSC,
2017,rougheye rockfish,WCGBT,4,no,summer,NWFSC,
2009,bocaccio,HKL,76,yes,summer,NWFSC,
2011,blackgill rockfish,WCGBT,88,yes,summer,SWFSC,
2012,blackgill rockfish,WCGBT,38,yes,summer,SWFSC,
2011,bocaccio,HKL,144,yes,summer,NWFSC,
2012,bocaccio,HKL,137,yes,summer,NWFSC,
2013,bocaccio,HKL,88,yes,summer,NWFSC,
2014,bocaccio,HKL,142,yes,summer,NWFSC,
2015,bocaccio,HKL,150,yes,summer,NWFSC,
2016,bocaccio,HKL,100,no,summer,NWFSC,
2018,brown rockfish,WCGBT,10,no,summer,NWFSC,
2018,brown rockfish,HKL,2,no,summer,NWFSC,
2009,canary rockfish,WCGBT,49,yes,summer,NWFSC,
2009,canary rockfish,HKL,10,yes,summer,NWFSC,
2010,canary rockfish,WCGBT,88,yes,summer,NWFSC,
2012,canary rockfish,WCGBT,82,yes,summer,NWFSC,
2012,canary rockfish,HKL,8,yes,summer,NWFSC,
2014,canary rockfish,WCGBT,118,yes,summer,NWFSC,
2015,canary rockfish,hkl,2,yes,summer,NWFSC,
2015,canary rockfish,WCGBT,109,yes,summer,NWFSC,
2015,canary rockfish,HKL,12,yes,summer,NWFSC,
2016,canary rockfish,WCGBT,100,yes,summer,NWFSC,
2016,canary rockfish,HKL,10,no,summer,NWFSC,
2013,canary rockfish,WCGBT,54,yes,summer,NWFSC,
2012,canary rockfish,HKL,3,yes,summer,NWFSC,
2011,canary rockfish,WCGBT,84,yes,summer,NWFSC,
2016,copper rockfish,WCGBT,30,yes,summer,NWFSC,
2016,copper rockfish,HKL,33,no,summer,NWFSC,check
2017,copper rockfish,WCGBT,19,yes,summer,NWFSC,
2017,copper rockfish,HKL,30,no,summer,NWFSC,check
2018,copper rockfish,WCGBT,23,no,summer,NWFSC,check
2019,copper rockfish,HKL,24,no,summer,NWFSC,check
2009,cowcod,HKL,11,yes,summer,NWFSC,
2013,cowcod,HKL,14,yes,summer,NWFSC,
2012,cowcod,HKL,9,yes,summer,NWFSC,
2013,chilipepper rockfish,HKL,51,yes,summer,SWFSC,
2014,chilipepper rockfish,HKL,41,yes,summer,SWFSC,
2015,chilipepper rockfish,HKL,65,yes,summer,SWFSC,
2014,cowcod,HKL,8,yes,summer,NWFSC,
2015,cowcod,WCGBT,6,yes,summer,NWFSC,
2015,cowcod,HKL,30,yes,summer,NWFSC,
2016,cowcod,WCGBT,15,yes,summer,NWFSC,
2016,cowcod,HKL,17,no,summer,NWFSC,
2017,cowcod,WCGBT,9,yes,summer,NWFSC,
2017,cowcod,HKL,15,no,summer,NWFSC,
2018,cowcod,WCGBT,40,no,summer,NWFSC,
2018,cowcod,HKL,43,no,summer,NWFSC,
2011,darkblotched rockfish,WCGBT,273,yes,summer,NWFSC,
2012,darkblotched rockfish,WCGBT,38,yes,summer,NWFSC,
2014,darkblotched rockfish,WCGBT,3,yes,summer,NWFSC,
2015,darkblotched rockfish,WCGBT,158,yes,summer,NWFSC,
2016,darkblotched rockfish,WCGBT,100,yes,summer,NWFSC,
2013,dover sole,WCGBT,106,yes,summer,NWFSC,
2017,dover sole,WCGBT,67,no,summer,NWFSC,check
2018,dover sole,WCGBT,84,no,summer,NWFSC,check
2015,greenstriped rockfish,WCGBT,43,yes,summer,NWFSC,
2016,greenstriped rockfish,WCGBT,30,yes,summer,NWFSC,
2013,greenspotted rockfish,HKL,98,yes,summer,NWFSC,
2014,greenspotted rockfish,HKL,77,yes,summer,NWFSC,
2014,kelp greenling,WCGBT,8,yes,summer,NWFSC,
2013,lingcod,WCGBT,132,yes,summer,NWFSC,
2014,lingcod,HKL,11,yes,summer,NWFSC,
2015,lingcod,WCGBT,79,yes,summer,NWFSC,
2016,lingcod,WCGBT,155,yes,summer,NWFSC,
2016,lingcod,HKL,65,yes,summer,NWFSC,
2017,lingcod,WCGBT,155,yes,summer,NWFSC,
2017,lingcod,HKL,60,no,summer,NWFSC,
2018,lingcod,WCGBT,92,no,summer,NWFSC,
2018,lingcod,HKL,234,no,summer,NWFSC,
2018,longnose skate,WCGBT,0,,summer,NWFSC,check
2017,longspine thornyhead,WCGBT,31,no,summer,NWFSC,
2013,mexico rockfish,HKL,1,yes,summer,NWFSC,
2018,pacific cod,WCGBT,10,no,summer,NWFSC,
2015,pacific hake,ASHOP,98,yes,spring,NWFSC,
2015,pacific hake,WCGBT,293,yes,summer,NWFSC,
2015,pacific hake,ACOUSTICS,193,yes,,NWFSC,
2016,pacific hake,ASHOP,102,yes,fall,NWFSC,
2016,pacific hake,ASHOP,162,yes,fall,NWFSC,
2016,pacific hake,ASHOP,26,yes,spring,NWFSC,
2016,pacific hake,WCGBT,277,no,summer,NWFSC,
2016,pacific hake,FEAT,309,yes,winter,NWFSC,
2015,petrale sole,WCGBT,146,yes,summer,NWFSC,
2016,petrale sole,WCGBT,140,yes,summer,NWFSC,
2017,petrale sole,WCGBT,141,no,summer,NWFSC,
2013,pacific ocean perch,WCGBT,82,yes,summer,NWFSC,
2014,pacific ocean perch,WCGBT,134,yes,summer,NWFSC,
2010,sablefish,WCGBT,490,yes,summer,NWFSC,
2012,sablefish,WCGBT,43,yes,summer,NWFSC,
2015,sablefish,WCGBT,231,yes,summer,NWFSC,
2018,sablefish,WCGBT,102,no,summer,NWFSC,
2015,stripedtail rockfish,WCGBT,37,yes,summer,NWFSC,
2016,stripedtail rockfish,WCGBT,30,yes,summer,NWFSC,
2014,squarespot rockfish,HKL,38,yes,summer,NWFSC,
2015,squarespot rockfish,HKL,80,yes,summer,NWFSC,
2011,shortspine thornyhead,WCGBT,143,yes,summer,NWFSC,
2012,shortspine thornyhead,WCGBT,165,yes,summer,NWFSC,
2013,shortspine thornyhead,WCGBT,103,yes,summer,NWFSC,
2014,shortspine thornyhead,WCGBT,146,no,summer,NWFSC,
2015,shortspine thornyhead,WCGBT,225,no,summer,NWFSC,
2016,shortspine thornyhead,WCGBT,180,yes,summer,NWFSC,
2017,shortspine thornyhead,ODFW,120,no,winter,NWFSC,
2009,vermilion and sunset rockfish,HKL,90,yes,summer,NWFSC,
2010,vermilion and sunset rockfish,HKL,244,yes,summer,NWFSC,
2011,vermilion and sunset rockfish,WCGBT,7,yes,summer,NWFSC,
2013,olive rockfish,HKL,1,yes,summer,SWFSC,
2011,vermilion and sunset rockfish,HKL,113,yes,summer,NWFSC,
2013,vermilion and sunset rockfish,HKL,244,yes,summer,NWFSC,
2014,vermilion and sunset rockfish,HKL,69,yes,summer,NWFSC,
2015,vermilion and sunset rockfish,WCGBT,10,yes,summer,NWFSC,
2015,vermilion and sunset rockfish,HKL,185,yes,summer,NWFSC,
2016,vermilion and sunset rockfish,WCGBT,30,yes,summer,NWFSC,
2016,vermilion and sunset rockfish,HKL,150,no,summer,NWFSC,
2017,vermilion and sunset rockfish,HKL,150,no,summer,NWFSC,
2018,vermilion and sunset rockfish,WCGBT,42,no,summer,NWFSC,
2012,vermilion and sunset rockfish,HKL,147,yes,summer,NWFSC,
2017,widow rockfish,WCGBT,50,yes,summer,NWFSC,
2018,widow rockfish,HKL,1,no,summer,NWFSC,
2009,yelloweye rockfish,HKL,2,yes,summer,NWFSC,
2014,yelloweye rockfish,WCGBT,2,yes,summer,NWFSC,
2015,yelloweye rockfish,WCGBT,20,yes,summer,NWFSC,
2015,yelloweye rockfish,HKL,5,yes,summer,NWFSC,
2016,yelloweye rockfish,WCGBT,39,yes,summer,NWFSC,
2016,yelloweye rockfish,HKL,6,yes,summer,NWFSC,
2017,yelloweye rockfish,WCGBT,26,no,summer,NWFSC,
2017,yelloweye rockfish,HKL,8,no,summer,NWFSC,
2018,yelloweye rockfish,WCGBT,25,no,summer,NWFSC,
2018,yelloweye rockfish,HKL,6,no,summer,NWFSC,
2013,yellowtail rockfish,HKL,59,yes,summer,NWFSC,
2014,yellowtail rockfish,HKL,16,yes,summer,NWFSC,
2015,yellowtail rockfish,HKL,38,yes,summer,NWFSC,
2016,yellowtail rockfish,WCGBT,250,yes,summer,NWFSC,
2016,yellowtail rockfish,HKL,14,yes,summer,NWFSC,
2016,yellowtail rockfish,ODFW,39,yes,winter,NWFSC,
2016,yellowtail rockfish,WDFW,25,yes,winter,NWFSC,
2015,canary rockfish,ODFW,61,yes,winter,NWFSC,
2016,canary rockfish,ODFW,55,yes,winter,NWFSC,
2019,copper rockfish,ODFW,1,no,winter,NWFSC,
2015,darkblotched rockfish,ODFW,156,yes,winter,NWFSC,
2015,darkblotched rockfish,WDFW,10,yes,winter,NWFSC,
2016,darkblotched rockfish,ODFW,106,yes,winter,NWFSC,
2018,deacon rockfish,ODFW,23,no,winter,NWFSC,
2017,dover sole,ODFW,110,no,winter,NWFSC,check
2013,rosy rockfish,HKL,6,yes,summer,SWFSC,
2015,rosy rockfish,HKL,33,yes,summer,SWFSC,
2016,rosy rockfish,hkl,20,no,summer,SWFSC,
2017,dover sole,WDFW,30,no,winter,NWFSC,check
2018,dover sole,ODFW,123,no,winter,NWFSC,check
2018,dover sole,WDFW,53,no,winter,NWFSC,check
2015,lingcod,ODFW,43,yes,winter,NWFSC,
2015,lingcod,WDFW,16,yes,winter,NWFSC,
2016,lingcod,ODFW,36,yes,winter,NWFSC,
2013,speckeled rockfish,HKL,45,yes,summer,SWFSC,
2014,speckeled rockfish,HKL,101,yes,summer,SWFSC,
2015,speckeled rockfish,HKL,155,yes,summer,SWFSC,
2016,speckeled rockfish,HKL,100,no,summer,SWFSC,
2016,lingcod,WDFW,30,yes,winter,NWFSC,
2017,lingcod,ODFW,40,no,winter,NWFSC,
2017,lingcod,WDFW,23,no,winter,NWFSC,
2018,lingcod,ODFW,40,no,winter,NWFSC,
2017,longnose skate,ODFW,71,yes,winter,NWFSC,
2017,longnose skate,WDFW,87,yes,winter,NWFSC,
2018,longnose skate,ODFW,0,,winter,NWFSC,check
2018,longnose skate,WDFW,350,yes,winter,NWFSC,
2018,pacific cod,WDFW,41,no,winter,NWFSC,
2017,pacific hake,ASHOP,93,no, spring,NWFSC,
2017,pacific hake,ASHOP,100,no,fall,NWFSC,
2016,petrale sole,WDFW,10,no,winter,NWFSC,
2015,sablefish,ODFW,105,yes,winter,NWFSC,
2015,sablefish,WDFW,7,yes,winter,NWFSC,
2017,shortspine thornyhead,WDFW,33,no,winter,NWFSC,
2013,swordspine rockfish,HKL,19,yes,summer,SWFSC,
2014,swordspine rockfish,HKL,25,yes,summer,SWFSC,
2015,swordspine rockfish,HKL,45,yes,summer,SWFSC,
2018,shortspine thornyhead,WCGBT,70,no,summer,NWFSC,
2018,shortspine thornyhead,ODFW,108,no,winter,NWFSC,
2018,shortspine thornyhead,WDFW,57,no,winter,NWFSC,
2017,widow rockfish,ODFW,50,no,winter,NWFSC,
2017,widow rockfish,WDFW,32,no,winter,NWFSC,
2018,widow rockfish,ODFW,74,no,winter,NWFSC,
2018,widow rockfish,WDFW,48,no,winter,NWFSC,
2015,yelloweye rockfish,ODFW,2,yes,winter,NWFSC,
2015,yelloweye rockfish,WDFW,10,yes,winter,NWFSC,
2016,yelloweye rockfish,ODFW,1,yes,winter,NWFSC,
2016,yelloweye rockfish,WDFW,7,yes,winter,NWFSC,
2017,yelloweye rockfish,ODFW,5,no,winter,NWFSC,
2017,yelloweye rockfish,WDFW,10,no,winter,NWFSC,
2016,yellowtail rockfish,FEAT,27,yes,,NWFSC,
2017,yellowtail rockfish,WCGBT,30,no,summer,NWFSC,
2017,yellowtail rockfish,ODFW,40,no,winter,NWFSC,
2017,yellowtail rockfish,WDFW,33,no,winter,NWFSC,
2017,yellowtail rockfish,FEAT,23,no,,NWFSC,
2018,yellowtail rockfish,HKL,22,no,summer,NWFSC,
2016,arrowtooth flounder,ODFW,120,no,,NWFSC,
2016,arrowtooth flounder,WDFW,37,no,,NWFSC,
2016,bank rockfish,ODFW,32,yes,,NWFSC,
2017,bank rockfish,ODFW,30,no,,NWFSC,
2017,bank rockfish,WDFW,1,no,,NWFSC,
2018,bank rockfish,ODFW,16,no,,NWFSC,
2018,bank rockfish,WDFW,85,no,,NWFSC,
2017,big skate,ODFW,51,yes,,NWFSC,
2018,big skate,WDFW,13,yes,,NWFSC,
2018,big skate,WDFW,116,yes,,NWFSC,
2014,black rockfish,ODFW,439,yes,,NWFSC,
2015,black rockfish,ODFW,81,yes,,NWFSC,
2016,black rockfish,ODFW,79,yes,,NWFSC,
2017,blue rockfish,ODFW,40,no,,NWFSC,
2018,blue rockfish,ODFW,17,no,,NWFSC,
2018,blue rockfish,WDFW,4,no,,NWFSC,
2014,canary rockfish,ODFW,269,yes,,NWFSC,
2016,canary rockfish,WDFW,65,yes,,NWFSC,
2016,darkblotched rockfish,WDFW,54,yes,,NWFSC,
2014,lingcod,ODFW,38,yes,,NWFSC,
2018,lingcod,WDFW,76,no,,NWFSC,
2017,pacific hake,WCGBT,109,no,summer,NWFSC,
2017,pacific hake,FEAT,134,no,winter,NWFSC,
2017,pacific hake,FEAT,65,yes,,NWFSC,
2018,pacific hake,WCGBT,167,no,summer,NWFSC,
2018,pacific hake,FEAT,87,no,,NWFSC,
2015,petrale sole,ODFW,91,yes,,NWFSC,
2015,petrale sole,WDFW,17,yes,,NWFSC,
2014,pacific ocean perch,ODFW,367,yes,,NWFSC,
2016,widow rockfish,FEAT,5,no,,NWFSC,
2017,widow rockfish,FEAT,17,no,,NWFSC,
2018,widow rockfish,FEAT,29,no,,NWFSC,
2014,yelloweye rockfish,ODFW,3,yes,,NWFSC,
2018,yelloweye rockfish,ODFW,43,no,,NWFSC,
2018,yelloweye rockfish,WDFW,1,no,,NWFSC,
2018,yellowtail rockfish,ODFW,60,no,winter,NWFSC,
2018,yellowtail rockfish,WDFW,50,no,winter,NWFSC,
