"Common_name","Year","positive_tow"
"arrowtooth flounder",2003,193
"arrowtooth flounder",2004,172
"arrowtooth flounder",2005,216
"arrowtooth flounder",2006,189
"arrowtooth flounder",2007,227
"arrowtooth flounder",2008,229
"arrowtooth flounder",2009,235
"arrowtooth flounder",2010,266
"arrowtooth flounder",2011,267
"arrowtooth flounder",2012,249
"arrowtooth flounder",2013,185
"arrowtooth flounder",2014,273
"arrowtooth flounder",2015,278
"arrowtooth flounder",2016,286
"arrowtooth flounder",2017,268
"arrowtooth flounder",2018,232
"arrowtooth flounder",2019,123
"aurora rockfish",2003,67
"aurora rockfish",2004,55
"aurora rockfish",2005,89
"aurora rockfish",2006,87
"aurora rockfish",2007,94
"aurora rockfish",2008,119
"aurora rockfish",2009,88
"aurora rockfish",2010,92
"aurora rockfish",2011,94
"aurora rockfish",2012,101
"aurora rockfish",2013,58
"aurora rockfish",2014,84
"aurora rockfish",2015,90
"aurora rockfish",2016,91
"aurora rockfish",2017,91
"aurora rockfish",2018,100
"aurora rockfish",2019,36
"bank rockfish",2003,4
"bank rockfish",2004,8
"bank rockfish",2005,11
"bank rockfish",2006,11
"bank rockfish",2007,15
"bank rockfish",2008,17
"bank rockfish",2009,12
"bank rockfish",2010,13
"bank rockfish",2011,16
"bank rockfish",2012,9
"bank rockfish",2013,14
"bank rockfish",2014,18
"bank rockfish",2015,18
"bank rockfish",2016,16
"bank rockfish",2017,14
"bank rockfish",2018,13
"bank rockfish",2019,6
"big skate",2003,63
"big skate",2004,84
"big skate",2005,103
"big skate",2006,68
"big skate",2007,78
"big skate",2008,55
"big skate",2009,85
"big skate",2010,130
"big skate",2011,104
"big skate",2012,107
"big skate",2013,85
"big skate",2014,151
"big skate",2015,136
"big skate",2016,105
"big skate",2017,125
"big skate",2018,123
"big skate",2019,56
"black rockfish",2004,1
"black rockfish",2009,2
"black rockfish",2010,1
"black rockfish",2015,1
"black rockfish",2016,1
"black rockfish",2017,2
"black rockfish",2019,1
"blackgill rockfish",2003,22
"blackgill rockfish",2004,20
"blackgill rockfish",2005,28
"blackgill rockfish",2006,35
"blackgill rockfish",2007,30
"blackgill rockfish",2008,44
"blackgill rockfish",2009,40
"blackgill rockfish",2010,45
"blackgill rockfish",2011,44
"blackgill rockfish",2012,43
"blackgill rockfish",2013,31
"blackgill rockfish",2014,38
"blackgill rockfish",2015,40
"blackgill rockfish",2016,34
"blackgill rockfish",2017,38
"blackgill rockfish",2018,45
"blackgill rockfish",2019,16
"blue rockfish",2003,2
"blue rockfish",2008,1
"blue rockfish",2013,3
"blue rockfish",2016,1
"bocaccio",2003,38
"bocaccio",2004,30
"bocaccio",2005,41
"bocaccio",2006,38
"bocaccio",2007,30
"bocaccio",2008,25
"bocaccio",2009,24
"bocaccio",2010,37
"bocaccio",2011,22
"bocaccio",2012,48
"bocaccio",2013,46
"bocaccio",2014,98
"bocaccio",2015,58
"bocaccio",2016,81
"bocaccio",2017,74
"bocaccio",2018,76
"bocaccio",2019,42
"brown rockfish",2003,8
"brown rockfish",2004,6
"brown rockfish",2005,5
"brown rockfish",2006,4
"brown rockfish",2007,1
"brown rockfish",2008,2
"brown rockfish",2009,2
"brown rockfish",2010,3
"brown rockfish",2011,7
"brown rockfish",2012,8
"brown rockfish",2013,5
"brown rockfish",2014,5
"brown rockfish",2015,7
"brown rockfish",2016,6
"brown rockfish",2017,6
"brown rockfish",2018,12
"brown rockfish",2019,4
"cabezon",2008,1
"cabezon",2016,1
"cabezon",2017,1
"cabezon",2018,1
"California scorpionfish",2003,9
"California scorpionfish",2004,12
"California scorpionfish",2005,8
"California scorpionfish",2006,11
"California scorpionfish",2007,12
"California scorpionfish",2008,12
"California scorpionfish",2009,11
"California scorpionfish",2010,10
"California scorpionfish",2011,16
"California scorpionfish",2012,9
"California scorpionfish",2013,8
"California scorpionfish",2014,6
"California scorpionfish",2015,15
"California scorpionfish",2016,12
"California scorpionfish",2017,13
"California scorpionfish",2018,23
"California scorpionfish",2019,13
"canary rockfish",2003,50
"canary rockfish",2004,37
"canary rockfish",2005,53
"canary rockfish",2006,32
"canary rockfish",2007,48
"canary rockfish",2008,35
"canary rockfish",2009,32
"canary rockfish",2010,51
"canary rockfish",2011,46
"canary rockfish",2012,56
"canary rockfish",2013,38
"canary rockfish",2014,75
"canary rockfish",2015,77
"canary rockfish",2016,80
"canary rockfish",2017,84
"canary rockfish",2018,65
"canary rockfish",2019,40
"chilipepper",2003,86
"chilipepper",2004,80
"chilipepper",2005,87
"chilipepper",2006,70
"chilipepper",2007,68
"chilipepper",2008,80
"chilipepper",2009,81
"chilipepper",2010,106
"chilipepper",2011,84
"chilipepper",2012,104
"chilipepper",2013,95
"chilipepper",2014,127
"chilipepper",2015,103
"chilipepper",2016,111
"chilipepper",2017,93
"chilipepper",2018,94
"chilipepper",2019,52
"copper rockfish",2003,8
"copper rockfish",2004,5
"copper rockfish",2005,5
"copper rockfish",2006,3
"copper rockfish",2007,5
"copper rockfish",2008,11
"copper rockfish",2009,7
"copper rockfish",2010,10
"copper rockfish",2011,4
"copper rockfish",2012,19
"copper rockfish",2013,9
"copper rockfish",2014,8
"copper rockfish",2015,9
"copper rockfish",2016,9
"copper rockfish",2017,12
"copper rockfish",2018,11
"copper rockfish",2019,7
"cowcod",2003,7
"cowcod",2004,21
"cowcod",2005,21
"cowcod",2006,11
"cowcod",2007,9
"cowcod",2008,11
"cowcod",2009,14
"cowcod",2010,30
"cowcod",2011,20
"cowcod",2012,24
"cowcod",2013,12
"cowcod",2014,22
"cowcod",2015,17
"cowcod",2016,32
"cowcod",2017,17
"cowcod",2018,32
"cowcod",2019,16
"darkblotched rockfish",2003,101
"darkblotched rockfish",2004,92
"darkblotched rockfish",2005,112
"darkblotched rockfish",2006,130
"darkblotched rockfish",2007,132
"darkblotched rockfish",2008,111
"darkblotched rockfish",2009,126
"darkblotched rockfish",2010,117
"darkblotched rockfish",2011,110
"darkblotched rockfish",2012,102
"darkblotched rockfish",2013,89
"darkblotched rockfish",2014,116
"darkblotched rockfish",2015,132
"darkblotched rockfish",2016,119
"darkblotched rockfish",2017,125
"darkblotched rockfish",2018,105
"darkblotched rockfish",2019,57
"deacon rockfish",2019,1
"Dover sole",2003,444
"Dover sole",2004,406
"Dover sole",2005,552
"Dover sole",2006,529
"Dover sole",2007,579
"Dover sole",2008,554
"Dover sole",2009,544
"Dover sole",2010,601
"Dover sole",2011,572
"Dover sole",2012,560
"Dover sole",2013,414
"Dover sole",2014,579
"Dover sole",2015,569
"Dover sole",2016,582
"Dover sole",2017,588
"Dover sole",2018,593
"Dover sole",2019,291
"English sole",2003,223
"English sole",2004,214
"English sole",2005,288
"English sole",2006,229
"English sole",2007,239
"English sole",2008,235
"English sole",2009,245
"English sole",2010,286
"English sole",2011,300
"English sole",2012,300
"English sole",2013,206
"English sole",2014,313
"English sole",2015,306
"English sole",2016,310
"English sole",2017,322
"English sole",2018,286
"English sole",2019,150
"flag rockfish",2003,6
"flag rockfish",2004,8
"flag rockfish",2005,5
"flag rockfish",2006,9
"flag rockfish",2007,13
"flag rockfish",2008,8
"flag rockfish",2009,11
"flag rockfish",2010,8
"flag rockfish",2011,4
"flag rockfish",2012,6
"flag rockfish",2013,4
"flag rockfish",2014,5
"flag rockfish",2015,5
"flag rockfish",2016,8
"flag rockfish",2017,7
"flag rockfish",2018,9
"flag rockfish",2019,3
"flathead sole",2003,52
"flathead sole",2004,44
"flathead sole",2005,42
"flathead sole",2006,50
"flathead sole",2007,27
"flathead sole",2008,25
"flathead sole",2009,39
"flathead sole",2010,55
"flathead sole",2011,52
"flathead sole",2012,49
"flathead sole",2013,33
"flathead sole",2014,77
"flathead sole",2015,101
"flathead sole",2016,75
"flathead sole",2017,76
"flathead sole",2018,65
"flathead sole",2019,31
"gopher rockfish",2005,1
"gopher rockfish",2006,2
"gopher rockfish",2009,1
"gopher rockfish",2010,3
"gopher rockfish",2011,1
"gopher rockfish",2012,5
"gopher rockfish",2013,1
"gopher rockfish",2017,1
"gopher rockfish",2018,1
"greenspotted rockfish",2003,34
"greenspotted rockfish",2004,26
"greenspotted rockfish",2005,30
"greenspotted rockfish",2006,43
"greenspotted rockfish",2007,40
"greenspotted rockfish",2008,41
"greenspotted rockfish",2009,50
"greenspotted rockfish",2010,38
"greenspotted rockfish",2011,35
"greenspotted rockfish",2012,35
"greenspotted rockfish",2013,25
"greenspotted rockfish",2014,37
"greenspotted rockfish",2015,26
"greenspotted rockfish",2016,40
"greenspotted rockfish",2017,28
"greenspotted rockfish",2018,36
"greenspotted rockfish",2019,17
"greenstriped rockfish",2003,132
"greenstriped rockfish",2004,138
"greenstriped rockfish",2005,178
"greenstriped rockfish",2006,179
"greenstriped rockfish",2007,168
"greenstriped rockfish",2008,149
"greenstriped rockfish",2009,165
"greenstriped rockfish",2010,189
"greenstriped rockfish",2011,186
"greenstriped rockfish",2012,187
"greenstriped rockfish",2013,125
"greenstriped rockfish",2014,182
"greenstriped rockfish",2015,175
"greenstriped rockfish",2016,165
"greenstriped rockfish",2017,170
"greenstriped rockfish",2018,197
"greenstriped rockfish",2019,96
"honeycomb rockfish",2003,1
"honeycomb rockfish",2005,1
"honeycomb rockfish",2006,2
"honeycomb rockfish",2007,3
"honeycomb rockfish",2008,1
"honeycomb rockfish",2009,1
"honeycomb rockfish",2010,1
"honeycomb rockfish",2012,3
"honeycomb rockfish",2013,3
"honeycomb rockfish",2014,1
"honeycomb rockfish",2016,1
"honeycomb rockfish",2017,2
"honeycomb rockfish",2018,1
"honeycomb rockfish",2019,1
"kelp greenling",2003,11
"kelp greenling",2004,12
"kelp greenling",2005,9
"kelp greenling",2006,7
"kelp greenling",2007,8
"kelp greenling",2008,4
"kelp greenling",2009,9
"kelp greenling",2010,16
"kelp greenling",2011,21
"kelp greenling",2012,11
"kelp greenling",2013,14
"kelp greenling",2014,14
"kelp greenling",2015,8
"kelp greenling",2016,10
"kelp greenling",2017,13
"kelp greenling",2018,16
"kelp greenling",2019,2
"kelp rockfish",2016,1
"lingcod",2003,190
"lingcod",2004,174
"lingcod",2005,197
"lingcod",2006,171
"lingcod",2007,169
"lingcod",2008,190
"lingcod",2009,224
"lingcod",2010,235
"lingcod",2011,267
"lingcod",2012,251
"lingcod",2013,189
"lingcod",2014,264
"lingcod",2015,245
"lingcod",2016,230
"lingcod",2017,250
"lingcod",2018,225
"lingcod",2019,124
"longnose skate",2003,295
"longnose skate",2004,279
"longnose skate",2005,389
"longnose skate",2006,386
"longnose skate",2007,417
"longnose skate",2008,396
"longnose skate",2009,366
"longnose skate",2010,410
"longnose skate",2011,428
"longnose skate",2012,427
"longnose skate",2013,297
"longnose skate",2014,423
"longnose skate",2015,432
"longnose skate",2016,428
"longnose skate",2017,437
"longnose skate",2018,425
"longnose skate",2019,223
"longspine thornyhead",2003,197
"longspine thornyhead",2004,153
"longspine thornyhead",2005,230
"longspine thornyhead",2006,237
"longspine thornyhead",2007,255
"longspine thornyhead",2008,262
"longspine thornyhead",2009,247
"longspine thornyhead",2010,266
"longspine thornyhead",2011,256
"longspine thornyhead",2012,249
"longspine thornyhead",2013,162
"longspine thornyhead",2014,241
"longspine thornyhead",2015,240
"longspine thornyhead",2016,246
"longspine thornyhead",2017,238
"longspine thornyhead",2018,249
"longspine thornyhead",2019,112
"olive rockfish",2004,1
"olive rockfish",2016,1
"Pacific cod",2003,69
"Pacific cod",2004,48
"Pacific cod",2005,28
"Pacific cod",2006,15
"Pacific cod",2007,25
"Pacific cod",2008,19
"Pacific cod",2009,21
"Pacific cod",2010,49
"Pacific cod",2011,34
"Pacific cod",2012,21
"Pacific cod",2013,27
"Pacific cod",2014,39
"Pacific cod",2015,62
"Pacific cod",2016,31
"Pacific cod",2017,25
"Pacific cod",2018,10
"Pacific cod",2019,10
"Pacific ocean perch",2003,47
"Pacific ocean perch",2004,36
"Pacific ocean perch",2005,38
"Pacific ocean perch",2006,33
"Pacific ocean perch",2007,50
"Pacific ocean perch",2008,40
"Pacific ocean perch",2009,47
"Pacific ocean perch",2010,53
"Pacific ocean perch",2011,53
"Pacific ocean perch",2012,51
"Pacific ocean perch",2013,46
"Pacific ocean perch",2014,53
"Pacific ocean perch",2015,69
"Pacific ocean perch",2016,50
"Pacific ocean perch",2017,58
"Pacific ocean perch",2018,40
"Pacific ocean perch",2019,19
"Pacific sanddab",2003,135
"Pacific sanddab",2004,167
"Pacific sanddab",2005,220
"Pacific sanddab",2006,178
"Pacific sanddab",2007,190
"Pacific sanddab",2008,203
"Pacific sanddab",2009,220
"Pacific sanddab",2010,242
"Pacific sanddab",2011,242
"Pacific sanddab",2012,242
"Pacific sanddab",2013,161
"Pacific sanddab",2014,244
"Pacific sanddab",2015,246
"Pacific sanddab",2016,223
"Pacific sanddab",2017,243
"Pacific sanddab",2018,225
"Pacific sanddab",2019,111
"Pacific spiny dogfish",2003,180
"Pacific spiny dogfish",2004,165
"Pacific spiny dogfish",2005,255
"Pacific spiny dogfish",2006,230
"Pacific spiny dogfish",2007,227
"Pacific spiny dogfish",2008,249
"Pacific spiny dogfish",2009,206
"Pacific spiny dogfish",2010,227
"Pacific spiny dogfish",2011,201
"Pacific spiny dogfish",2012,173
"Pacific spiny dogfish",2013,95
"Pacific spiny dogfish",2014,154
"Pacific spiny dogfish",2015,146
"Pacific spiny dogfish",2016,120
"Pacific spiny dogfish",2017,100
"Pacific spiny dogfish",2018,137
"Pacific spiny dogfish",2019,65
"petrale sole",2003,198
"petrale sole",2004,215
"petrale sole",2005,280
"petrale sole",2006,247
"petrale sole",2007,257
"petrale sole",2008,257
"petrale sole",2009,278
"petrale sole",2010,325
"petrale sole",2011,321
"petrale sole",2012,296
"petrale sole",2013,219
"petrale sole",2014,333
"petrale sole",2015,312
"petrale sole",2016,310
"petrale sole",2017,316
"petrale sole",2018,291
"petrale sole",2019,155
"quillback rockfish",2003,2
"quillback rockfish",2005,2
"quillback rockfish",2006,2
"quillback rockfish",2007,2
"quillback rockfish",2008,3
"quillback rockfish",2009,2
"quillback rockfish",2010,2
"quillback rockfish",2011,4
"quillback rockfish",2012,4
"quillback rockfish",2013,2
"quillback rockfish",2014,9
"quillback rockfish",2015,6
"quillback rockfish",2016,4
"quillback rockfish",2017,7
"quillback rockfish",2018,8
"quillback rockfish",2019,3
"redbanded rockfish",2003,63
"redbanded rockfish",2004,37
"redbanded rockfish",2005,54
"redbanded rockfish",2006,48
"redbanded rockfish",2007,52
"redbanded rockfish",2008,54
"redbanded rockfish",2009,53
"redbanded rockfish",2010,37
"redbanded rockfish",2011,52
"redbanded rockfish",2012,63
"redbanded rockfish",2013,49
"redbanded rockfish",2014,58
"redbanded rockfish",2015,55
"redbanded rockfish",2016,48
"redbanded rockfish",2017,69
"redbanded rockfish",2018,52
"redbanded rockfish",2019,30
"rex sole",2003,351
"rex sole",2004,312
"rex sole",2005,427
"rex sole",2006,396
"rex sole",2007,425
"rex sole",2008,399
"rex sole",2009,397
"rex sole",2010,443
"rex sole",2011,428
"rex sole",2012,434
"rex sole",2013,308
"rex sole",2014,436
"rex sole",2015,422
"rex sole",2016,428
"rex sole",2017,431
"rex sole",2018,434
"rex sole",2019,210
"rougheye and blackspotted rockfish",2003,34
"rougheye and blackspotted rockfish",2004,28
"rougheye and blackspotted rockfish",2005,27
"rougheye and blackspotted rockfish",2006,38
"rougheye and blackspotted rockfish",2007,37
"rougheye and blackspotted rockfish",2008,37
"rougheye and blackspotted rockfish",2009,30
"rougheye and blackspotted rockfish",2010,30
"rougheye and blackspotted rockfish",2011,36
"rougheye and blackspotted rockfish",2012,27
"rougheye and blackspotted rockfish",2013,22
"rougheye and blackspotted rockfish",2014,24
"rougheye and blackspotted rockfish",2015,38
"rougheye and blackspotted rockfish",2016,37
"rougheye and blackspotted rockfish",2017,28
"rougheye and blackspotted rockfish",2018,27
"rougheye and blackspotted rockfish",2019,10
"sablefish",2003,422
"sablefish",2004,332
"sablefish",2005,447
"sablefish",2006,399
"sablefish",2007,430
"sablefish",2008,420
"sablefish",2009,419
"sablefish",2010,458
"sablefish",2011,457
"sablefish",2012,428
"sablefish",2013,307
"sablefish",2014,463
"sablefish",2015,421
"sablefish",2016,440
"sablefish",2017,460
"sablefish",2018,435
"sablefish",2019,227
"sand sole",2003,6
"sand sole",2004,6
"sand sole",2005,6
"sand sole",2006,3
"sand sole",2007,7
"sand sole",2008,12
"sand sole",2009,10
"sand sole",2010,10
"sand sole",2011,18
"sand sole",2012,9
"sand sole",2013,13
"sand sole",2014,9
"sand sole",2015,9
"sand sole",2016,10
"sand sole",2017,16
"sand sole",2018,7
"sand sole",2019,6
"sharpchin rockfish",2003,53
"sharpchin rockfish",2004,33
"sharpchin rockfish",2005,35
"sharpchin rockfish",2006,43
"sharpchin rockfish",2007,35
"sharpchin rockfish",2008,26
"sharpchin rockfish",2009,39
"sharpchin rockfish",2010,43
"sharpchin rockfish",2011,49
"sharpchin rockfish",2012,41
"sharpchin rockfish",2013,38
"sharpchin rockfish",2014,55
"sharpchin rockfish",2015,53
"sharpchin rockfish",2016,56
"sharpchin rockfish",2017,53
"sharpchin rockfish",2018,46
"sharpchin rockfish",2019,33
"shortraker rockfish",2003,2
"shortraker rockfish",2004,3
"shortraker rockfish",2005,2
"shortraker rockfish",2013,1
"shortraker rockfish",2014,2
"shortraker rockfish",2015,1
"shortraker rockfish",2017,1
"shortraker rockfish",2018,1
"shortspine thornyhead",2003,296
"shortspine thornyhead",2004,216
"shortspine thornyhead",2005,316
"shortspine thornyhead",2006,332
"shortspine thornyhead",2007,371
"shortspine thornyhead",2008,363
"shortspine thornyhead",2009,341
"shortspine thornyhead",2010,360
"shortspine thornyhead",2011,349
"shortspine thornyhead",2012,349
"shortspine thornyhead",2013,248
"shortspine thornyhead",2014,347
"shortspine thornyhead",2015,335
"shortspine thornyhead",2016,356
"shortspine thornyhead",2017,364
"shortspine thornyhead",2018,368
"shortspine thornyhead",2019,176
"speckled rockfish",2006,2
"speckled rockfish",2007,3
"speckled rockfish",2008,1
"speckled rockfish",2009,6
"speckled rockfish",2010,3
"speckled rockfish",2012,1
"speckled rockfish",2013,5
"speckled rockfish",2014,1
"speckled rockfish",2016,1
"speckled rockfish",2017,1
"speckled rockfish",2018,1
"speckled rockfish",2019,2
"splitnose rockfish",2003,135
"splitnose rockfish",2004,99
"splitnose rockfish",2005,128
"splitnose rockfish",2006,146
"splitnose rockfish",2007,161
"splitnose rockfish",2008,154
"splitnose rockfish",2009,153
"splitnose rockfish",2010,131
"splitnose rockfish",2011,134
"splitnose rockfish",2012,136
"splitnose rockfish",2013,102
"splitnose rockfish",2014,140
"splitnose rockfish",2015,133
"splitnose rockfish",2016,130
"splitnose rockfish",2017,131
"splitnose rockfish",2018,114
"splitnose rockfish",2019,74
"squarespot rockfish",2003,2
"squarespot rockfish",2004,6
"squarespot rockfish",2005,14
"squarespot rockfish",2006,6
"squarespot rockfish",2007,13
"squarespot rockfish",2008,10
"squarespot rockfish",2009,16
"squarespot rockfish",2010,14
"squarespot rockfish",2011,6
"squarespot rockfish",2012,7
"squarespot rockfish",2013,10
"squarespot rockfish",2014,9
"squarespot rockfish",2015,9
"squarespot rockfish",2016,18
"squarespot rockfish",2017,11
"squarespot rockfish",2018,11
"squarespot rockfish",2019,6
"starry flounder",2003,5
"starry flounder",2004,4
"starry flounder",2005,7
"starry flounder",2006,4
"starry flounder",2007,6
"starry flounder",2008,9
"starry flounder",2009,12
"starry flounder",2010,13
"starry flounder",2011,18
"starry flounder",2012,8
"starry flounder",2013,10
"starry flounder",2014,8
"starry flounder",2015,10
"starry flounder",2016,10
"starry flounder",2017,16
"starry flounder",2018,6
"starry flounder",2019,6
"starry rockfish",2003,1
"starry rockfish",2004,3
"starry rockfish",2005,2
"starry rockfish",2006,1
"starry rockfish",2007,3
"starry rockfish",2008,2
"starry rockfish",2009,6
"starry rockfish",2010,2
"starry rockfish",2011,1
"starry rockfish",2012,2
"starry rockfish",2013,1
"starry rockfish",2014,1
"starry rockfish",2016,2
"starry rockfish",2017,5
"starry rockfish",2018,4
"starry rockfish",2019,4
"vermilion and sunset rockfish",2003,6
"vermilion and sunset rockfish",2004,3
"vermilion and sunset rockfish",2005,6
"vermilion and sunset rockfish",2006,5
"vermilion and sunset rockfish",2007,8
"vermilion and sunset rockfish",2008,13
"vermilion and sunset rockfish",2009,16
"vermilion and sunset rockfish",2010,16
"vermilion and sunset rockfish",2011,4
"vermilion and sunset rockfish",2012,16
"vermilion and sunset rockfish",2013,11
"vermilion and sunset rockfish",2014,14
"vermilion and sunset rockfish",2015,12
"vermilion and sunset rockfish",2016,20
"vermilion and sunset rockfish",2017,16
"vermilion and sunset rockfish",2018,13
"vermilion and sunset rockfish",2019,7
"widow rockfish",2003,20
"widow rockfish",2004,12
"widow rockfish",2005,20
"widow rockfish",2006,26
"widow rockfish",2007,27
"widow rockfish",2008,17
"widow rockfish",2009,32
"widow rockfish",2010,28
"widow rockfish",2011,31
"widow rockfish",2012,32
"widow rockfish",2013,18
"widow rockfish",2014,29
"widow rockfish",2015,21
"widow rockfish",2016,40
"widow rockfish",2017,30
"widow rockfish",2018,34
"widow rockfish",2019,23
"yelloweye rockfish",2003,19
"yelloweye rockfish",2004,8
"yelloweye rockfish",2005,14
"yelloweye rockfish",2006,13
"yelloweye rockfish",2007,12
"yelloweye rockfish",2008,15
"yelloweye rockfish",2009,11
"yelloweye rockfish",2010,15
"yelloweye rockfish",2011,14
"yelloweye rockfish",2012,14
"yelloweye rockfish",2013,14
"yelloweye rockfish",2014,19
"yelloweye rockfish",2015,13
"yelloweye rockfish",2016,25
"yelloweye rockfish",2017,19
"yelloweye rockfish",2018,24
"yelloweye rockfish",2019,9
"yellowtail rockfish",2003,35
"yellowtail rockfish",2004,27
"yellowtail rockfish",2005,47
"yellowtail rockfish",2006,35
"yellowtail rockfish",2007,45
"yellowtail rockfish",2008,37
"yellowtail rockfish",2009,40
"yellowtail rockfish",2010,47
"yellowtail rockfish",2011,48
"yellowtail rockfish",2012,46
"yellowtail rockfish",2013,30
"yellowtail rockfish",2014,55
"yellowtail rockfish",2015,59
"yellowtail rockfish",2016,80
"yellowtail rockfish",2017,71
"yellowtail rockfish",2018,62
"yellowtail rockfish",2019,32
